magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
6.6,2,6,0,1,671,9,0,3.557,13.0,8,53.19,-5.9873,148.232
7.1,3,6,0,1,776,9,0,4.415,13.0,8,434.0,-19.6903,-177.759
7.3,8,6,3,1,982,9,0,1.078,18.0,8,40.0,12.5262,-88.1225
6.7,5,5,0,1,724,9,0,0.46,11.0,8,130.0,13.7641,144.429
6.8,6,6,0,1,741,9,0,4.107,18.0,8,101.0,-14.598,-73.5714
6.9,0,4,0,1,732,9,0,6.393,12.0,8,13.0,0.8295,146.169
6.9,0,6,0,1,732,9,0,3.934,15.0,8,615.42,-19.8015,-178.4
6.5,5,4,0,1,706,9,0,2.421,9.0,8,20.0,37.0052,142.452
6.9,8,7,1,1,1079,9,0,0.263,51.0,8,53.0,14.724,-92.4614
6.5,0,4,0,1,650,9,0,2.124,15.0,8,20.0,-6.2304,152.807
6.7,0,5,0,1,691,9,0,6.713,45.0,8,18.0,-14.9831,-175.51
6.9,0,5,0,1,732,9,0,4.838,25.0,8,8.0,-55.4703,-28.3669
7.9,6,8,0,1,963,9,0,0.133,22.0,8,109.0,51.8486,178.735
6.7,0,5,0,0,691,9,0,0.748,43.0,7,26.59,-29.9414,-177.607
6.5,0,5,0,0,650,9,0,0.778,30.0,7,10.0,-29.9379,-177.516
6.9,0,5,0,1,732,9,0,0.751,35.0,8,20.0,-29.9772,-177.725
6.9,9,7,0,0,951,9,0,0.402,25.0,8,6.43,40.2893,25.3889
6.5,7,5,0,1,694,9,0,3.121,33.0,8,10.0,7.2096,-82.3045
6.6,0,5,0,1,670,9,0,3.34,10.0,8,106.0,-21.4542,170.355
6.5,4,6,0,1,838,9,0,0.0,0.0,8,10.0,49.6388,-127.732
7.5,0,6,0,1,865,9,0,3.82,16.0,8,43.37,-6.7547,155.024
6.6,0,6,0,1,670,9,0,3.803,11.0,8,29.0,-6.6558,155.087
7.2,8,7,3,1,1017,9,0,2.25,46.0,8,24.0,17.397,-100.972
6.6,0,6,0,0,670,9,0,2.666,22.0,8,10.0,-11.1284,162.052
7.4,0,6,0,1,842,9,0,2.885,17.0,8,39.0,-11.4633,162.051
7.6,0,7,0,1,889,9,0,2.828,13.0,8,22.56,-11.2701,162.148
6.6,6,5,0,1,677,9,0,0.761,20.0,8,135.0,11.642,-85.8779
6.5,0,6,0,1,650,9,0,3.787,16.0,8,20.0,-6.7878,154.95
7.1,0,7,0,1,776,9,0,3.729,21.0,8,60.53,-6.5858,155.048
7.7,8,9,3,1,1057,9,0,1.029,44.0,8,22.4,-20.5709,-70.4931
6.5,7,7,0,0,670,9,0,0.828,82.0,8,24.07,-20.3113,-70.5756
6.9,0,5,0,0,732,9,0,0.828,119.0,8,28.42,-19.8927,-70.9455
8.2,9,8,3,1,1332,9,0,0.609,23.0,8,25.0,-19.6097,-70.7691
6.7,7,7,0,1,718,9,0,1.008,44.0,8,20.0,-19.9807,-70.7022
6.8,5,5,0,1,1211,5,112,0.6568,229.0,5,16.441,40.8287,-125.134
6.5,4,5,0,1,668,9,0,1.001,17.0,8,119.0,27.4312,127.367
6.5,5,4,0,1,681,9,0,1.635,30.0,8,14.83,14.6682,-58.9272
6.9,3,8,3,0,733,9,0,7.496,18.0,8,10.0,35.9053,82.5864
6.5,0,5,0,1,650,9,0,0.409,20.0,8,122.0,-15.0691,167.372
6.5,0,3,0,1,650,9,0,3.651,22.0,8,44.26,-32.9076,-177.881
6.5,0,4,0,1,650,9,0,3.997,14.0,8,187.0,-13.8633,167.249
6.5,3,4,0,0,651,9,0,5.194,22.0,8,371.0,-17.1171,-176.545
7.7,1,8,0,1,912,9,0,8.05,23.0,8,10.0,-60.2738,-46.4011
6.9,0,5,0,1,732,9,0,8.284,17.0,8,9.97,-60.2627,-47.0621
6.6,6,7,0,1,723,9,0,0.636,31.0,8,27.0,-30.2921,-71.5215
7.1,6,4,0,1,872,9,0,3.968,10.0,8,35.0,37.1557,144.661
6.6,8,5,0,1,692,9,0,1.98,44.0,8,9.45,26.0913,-110.321
6.8,0,6,0,1,711,9,0,5.79,9.0,8,35.0,-6.4456,154.931
7.1,9,8,1,1,1092,9,0,3.144,12.0,8,19.04,9.8796,124.117
6.6,5,6,3,0,691,9,0,1.984,40.0,8,40.0,35.5142,23.2523
6.7,0,3,0,0,691,9,0,2.958,11.0,8,573.0,53.1995,152.786
6.5,0,4,0,1,650,9,0,1.709,21.0,8,41.54,-30.9255,-178.323
6.8,7,7,1,0,1005,9,0,7.359,17.0,8,12.0,27.1825,65.5052
7.1,8,7,0,1,843,9,0,4.446,17.0,8,40.0,-15.8385,-74.5112
7.7,5,8,2,0,2015,9,0,7.241,17.0,8,15.0,26.951,65.5009
6.5,0,6,0,1,650,9,0,0.735,24.0,8,20.0,51.5573,-174.767
6.5,5,3,0,0,739,9,0,3.276,26.0,8,402.0,29.9377,138.833
6.5,4,5,0,0,668,9,0,3.097,11.0,8,112.0,-7.44,128.221
7.0,5,6,0,0,758,9,0,0.624,53.0,8,29.0,51.537,-175.23
6.5,9,7,3,1,690,9,0,0.0,0.0,8,8.2,-41.734,174.152
6.7,4,5,0,1,715,9,0,3.741,22.0,8,12.0,5.7732,-78.1999
6.5,6,7,3,1,693,9,229,0.0,20.0,8,17.0,-41.704,174.337
7.3,0,6,0,1,820,9,398,0.0,43.0,8,11.0,-60.857,-25.07
6.6,4,6,0,0,674,9,139,0.0,14.0,8,56.0,-6.029,149.706
7.3,0,4,0,1,820,9,117,0.0,24.0,8,385.5,-3.917,153.927
6.6,0,7,0,1,670,9,111,0.0,16.0,8,10.0,10.701,-42.594
6.5,5,6,0,1,679,9,698,0.0,27.0,8,30.0,11.763,-86.926
6.7,5,4,0,0,710,9,515,0.0,24.0,8,9.0,-10.004,107.236
6.7,0,3,0,1,691,9,217,0.0,25.2,6,624.0,52.235,151.444
8.3,5,5,0,1,1115,9,385,0.0,10.0,8,598.1,54.892,153.221
7.4,0,6,0,1,842,9,626,0.0,16.0,8,173.7,-23.009,-177.232
6.8,0,3,0,0,711,9,131,0.0,18.0,8,602.2,18.728,145.288
6.5,0,6,0,1,650,9,264,0.0,16.6,8,10.0,-3.898,152.127
6.6,8,8,2,0,2083,9,548,0.0,12.6,8,14.0,30.308,102.888
7.2,5,7,0,1,804,9,770,0.0,10.1,8,110.0,46.221,150.788
6.6,7,7,0,1,672,9,445,0.0,11.0,8,13.0,-3.214,142.542
7.7,8,8,3,0,1421,9,506,0.0,26.6,8,80.0,28.033,61.996
6.6,0,5,0,1,670,9,491,0.0,11.5,8,31.0,-6.475,154.607
7.0,3,7,0,1,755,9,640,0.0,11.4,8,66.0,-3.517,138.476
6.5,0,6,0,1,650,9,317,0.0,14.2,8,28.0,-6.598,148.174
6.5,3,6,0,0,651,9,480,0.0,20.7,8,29.0,50.958,157.408
6.9,5,6,0,1,736,9,531,0.0,20.7,8,41.0,50.954,157.283
6.6,0,7,0,1,670,9,697,0.0,15.3,8,11.0,67.631,142.508
6.6,0,6,0,1,670,9,421,0.0,16.6,8,18.0,-10.994,165.741
6.9,5,5,0,1,904,9,562,0.0,23.7,8,145.0,1.135,-77.393
7.1,9,6,0,1,780,9,334,0.0,16.5,8,21.0,-10.928,166.018
6.8,0,7,0,1,711,9,400,0.0,17.5,8,12.0,-10.838,165.969
6.7,0,6,0,1,691,9,387,0.0,26.5,8,11.0,-10.997,165.655
7.0,0,6,0,0,754,9,445,0.0,17.5,8,8.8,-10.499,165.588
7.1,0,5,0,0,776,9,550,0.0,18.4,8,10.0,-11.183,164.882
8.0,8,7,0,1,993,9,460,0.0,20.9,8,24.0,-10.799,165.114
6.9,6,7,3,0,814,9,686,0.0,28.0,8,107.0,42.77,143.092
6.8,6,7,0,0,771,9,596,0.0,19.3,8,45.0,-28.094,-70.653
7.5,6,6,0,0,1425,0,0,0.0,0.0,5,8.7,55.228,-134.859
6.7,0,4,0,0,691,9,521,0.0,13.7,8,200.7,-14.344,167.286
7.1,5,5,0,0,843,9,517,0.0,8.7,8,155.0,-6.533,129.825
7.3,6,5,0,0,1014,9,918,0.0,14.8,8,31.0,37.89,143.949
6.5,4,5,0,0,708,9,598,0.0,57.3,8,20.0,14.129,-92.164
6.8,7,6,0,0,795,9,391,0.0,13.7,8,13.7,23.005,95.885
7.4,8,7,3,0,1455,9,751,0.0,25.5,8,24.0,13.988,-91.895
7.8,8,7,0,0,1726,9,807,0.0,42.7,8,14.0,52.788,-132.101
6.5,6,6,0,0,745,9,691,0.0,34.4,8,17.0,10.086,-85.298
6.6,3,5,0,0,675,9,291,0.0,17.7,8,13.0,-4.892,134.03
7.3,7,6,0,0,1221,9,934,0.0,15.5,8,170.0,1.929,-76.362
7.6,8,7,0,0,1555,9,703,0.0,34.3,8,35.0,10.085,-85.315
7.6,8,5,0,0,1115,9,682,0.0,10.2,8,28.0,10.811,126.638
7.3,5,5,0,0,994,9,417,0.0,37.0,8,28.0,12.139,-88.59
6.6,4,5,0,0,678,9,497,0.0,14.6,8,91.1,2.19,126.837
7.7,7,4,0,0,941,9,862,0.0,13.8,8,583.2,49.8,145.064
6.5,5,6,0,0,653,9,576,0.0,11.7,8,41.0,-4.651,153.173
6.6,4,5,0,0,675,9,529,0.0,15.7,8,134.7,-18.685,-174.705
6.7,0,7,0,0,691,9,370,0.0,15.4,8,16.0,-1.617,134.276
6.8,6,5,0,0,732,9,597,0.0,12.6,8,198.0,-5.462,147.117
6.7,0,7,0,0,691,9,518,0.0,26.9,8,29.0,-32.625,-71.365
7.0,7,7,0,0,1000,9,474,0.0,95.9,8,13.0,28.696,-113.104
6.5,7,6,0,0,1171,9,599,0.0,54.1,6,20.0,18.229,-102.689
8.2,9,6,0,0,1213,9,341,0.0,14.9,7,25.1,0.802,92.463
8.6,9,7,3,0,2048,7,499,0.0,16.6,5,20.0,2.327,93.063
7.1,7,7,0,0,1496,9,553,0.0,15.2,8,40.7,-35.2,-72.217
6.6,6,6,0,0,709,9,640,0.0,10.1,8,118.0,-6.242,145.955
7.4,9,8,0,0,1752,9,672,0.0,37.9,8,20.0,16.493,-98.231
6.7,7,7,0,0,833,9,596,0.0,13.4,8,12.0,51.708,95.991
6.7,9,7,0,0,1551,9,572,0.0,11.1,8,11.0,9.999,123.206
7.1,5,5,0,0,793,9,573,0.0,12.0,8,23.0,-17.827,167.133
7.2,4,4,0,0,838,9,443,0.0,17.0,8,19.0,2.433,93.21
6.6,0,7,0,0,670,9,545,0.0,17.6,8,15.0,51.842,95.911
7.1,6,6,0,0,834,9,485,0.0,10.6,8,135.0,-7.551,146.809
6.5,8,7,0,0,1400,9,578,0.0,38.6,8,59.0,17.986,-99.789
6.9,6,7,0,0,847,9,474,0.0,46.5,8,24.0,-14.438,-75.966
7.1,9,9,0,0,1096,9,693,0.0,19.7,8,18.0,38.721,43.508
6.5,3,6,0,0,655,9,423,0.0,12.6,8,37.0,-6.57,147.881
6.9,8,8,0,0,1562,9,383,0.0,13.0,8,50.0,27.73,88.155
6.7,5,5,0,0,712,9,667,0.0,10.9,7,30.0,40.273,142.779
6.7,5,6,0,0,915,9,447,0.0,15.3,8,91.0,2.965,97.893
7.0,7,5,0,0,761,9,406,0.0,15.3,8,185.1,-20.671,169.716
7.0,6,6,0,0,913,9,471,0.0,26.9,8,147.0,-7.641,-74.525
7.1,5,6,0,0,787,9,564,0.0,12.3,8,28.0,-18.311,168.218
6.5,0,5,0,0,650,9,322,0.0,15.0,7,35.0,-18.308,168.156
7.2,8,6,0,0,813,9,280,0.0,18.4,8,32.0,-18.365,168.143
6.6,3,6,0,0,674,9,229,0.0,16.6,8,10.0,-3.518,144.828
7.6,3,7,0,0,893,9,567,0.0,33.5,8,17.0,-29.539,-176.34
6.7,6,6,0,0,749,9,592,0.0,24.9,8,33.0,39.955,142.205
6.8,4,5,0,0,734,9,519,0.0,12.5,8,11.0,-20.244,168.226
6.8,5,6,0,0,719,9,445,0.0,13.0,8,79.0,-10.375,161.2
6.6,7,7,0,0,822,9,586,0.0,10.1,8,11.0,37.001,140.401
7.1,8,8,0,0,1114,9,446,0.0,17.7,8,42.0,38.276,141.588
6.6,7,6,0,0,897,9,518,0.0,37.2,8,166.2,17.208,-94.338
6.9,7,9,0,0,1154,9,335,0.0,18.2,8,8.0,20.687,99.822
6.6,6,5,0,0,673,9,668,0.0,9.5,4,25.7,39.241,142.463
6.5,0,4,0,0,650,9,369,0.0,18.7,1,6.8,36.166,141.562
7.7,7,4,0,0,931,9,507,0.0,10.8,7,18.6,38.058,144.59
7.9,8,7,0,0,1140,9,163,0.0,48.4,7,42.6,36.281,141.111
9.1,9,8,0,0,2184,7,541,0.0,9.5,8,29.0,38.297,142.373
7.3,5,5,0,0,972,9,550,0.0,17.4,8,32.0,38.435,142.842
6.7,5,6,0,0,731,9,358,0.0,33.9,8,21.0,-35.38,-72.834
6.9,7,7,0,0,988,9,382,0.0,34.7,8,26.0,-36.422,-72.96
7.2,7,7,0,0,1449,9,372,0.0,25.3,8,68.0,28.777,63.951
7.0,2,5,0,0,755,9,578,0.0,13.3,8,9.0,-20.628,168.471
7.2,8,7,0,0,1054,9,397,0.0,30.1,8,24.0,-38.355,-73.326
7.3,0,5,0,0,820,9,409,0.0,12.0,7,16.0,-19.702,167.947
6.7,3,7,0,0,708,9,279,0.0,24.3,7,12.0,28.412,59.18
6.6,0,6,0,0,670,9,306,0.0,18.5,6,33.0,-6.001,149.977
7.8,4,7,0,0,946,9,379,0.0,23.0,7,20.1,-3.487,100.082
6.7,5,5,0,0,776,9,352,0.0,50.3,7,13.0,24.696,-109.156
7.0,8,5,0,0,772,9,271,0.0,15.1,7,26.0,-4.963,133.76
7.0,8,8,0,0,1245,9,365,0.0,15.8,7,12.0,-43.522,171.83
7.1,6,5,0,0,945,9,672,0.0,12.4,7,206.7,-1.266,-77.306
7.3,7,7,0,0,850,9,405,0.0,20.2,7,25.0,-17.541,168.069
7.0,4,6,0,0,757,9,396,0.0,12.7,8,44.0,-5.746,150.765
6.5,5,4,0,0,659,9,403,0.0,11.1,7,220.0,-5.486,146.822
7.6,5,3,0,0,902,9,340,0.0,15.1,7,578.0,6.497,123.48
7.3,8,7,0,0,831,9,397,0.0,18.2,7,35.0,-5.931,150.59
6.9,4,7,0,0,737,9,456,0.0,15.7,7,28.0,-5.966,150.428
6.6,6,7,0,0,753,9,295,0.0,52.8,7,22.0,-38.067,-73.31
6.7,5,6,0,0,696,9,392,0.0,18.7,7,35.0,-10.627,161.447
6.6,0,7,0,0,670,9,309,0.0,25.0,7,10.5,-2.329,136.484
7.0,3,7,0,0,755,9,307,0.0,18.1,7,18.0,-2.174,136.543
7.5,6,5,0,0,1144,9,514,0.0,18.6,7,35.0,7.881,91.936
7.2,5,6,0,0,804,9,327,0.0,11.7,7,31.0,-13.698,166.643
7.2,5,6,0,0,918,9,611,0.0,20.6,7,38.0,3.748,96.018
6.9,6,9,0,0,773,9,410,0.0,14.9,7,17.0,33.165,96.548
6.9,4,5,0,0,740,9,399,0.0,12.1,7,21.0,-10.878,161.116
7.8,0,7,0,0,936,9,352,0.0,19.2,7,31.0,2.383,97.048
7.2,9,9,2,0,2910,2,10,0.5137,239.0,5,9.987,32.2862,-115.295
6.6,5,6,0,0,701,9,413,0.0,16.7,7,34.0,13.667,92.831
6.7,5,6,0,0,856,9,312,0.0,34.7,7,18.0,-36.217,-73.257
6.5,6,5,0,0,810,9,491,0.0,27.0,7,32.0,37.745,141.59
7.0,7,7,0,0,874,9,403,0.0,17.1,7,18.0,-34.326,-71.799
6.9,7,7,0,0,1280,9,415,0.0,12.5,7,11.0,-34.29,-71.891
6.8,4,6,0,0,717,9,401,0.0,23.2,7,26.0,-3.762,100.991
6.6,7,7,0,0,736,9,255,0.0,27.8,6,18.0,-36.665,-73.374
6.5,0,4,0,0,650,9,426,0.0,18.7,6,176.0,-13.571,167.227
7.4,0,5,0,0,842,9,409,0.0,17.6,7,35.0,-37.773,-75.048
8.8,8,8,0,0,1991,7,454,0.0,17.8,8,22.9,-36.122,-72.898
7.0,6,6,0,0,1180,9,487,0.0,15.7,7,25.0,25.93,128.425
7.0,9,9,0,0,1623,9,500,0.0,22.7,7,13.0,18.443,-72.571
6.5,7,7,0,0,1360,5,51,0.3225,220.0,5,28.737,40.652,-124.692
6.8,3,6,0,0,713,9,338,0.0,15.0,7,15.4,-9.019,157.551
7.1,5,7,0,0,780,9,377,0.0,15.0,7,10.0,-8.783,157.354
6.6,5,7,0,0,672,9,282,0.0,16.6,7,10.0,-8.726,157.487
6.5,6,7,0,0,698,9,390,0.0,17.7,7,27.0,-19.394,-70.321
7.3,0,4,0,0,820,9,430,0.0,15.0,7,595.0,-17.239,178.331
6.6,7,6,0,0,677,9,305,0.0,20.4,7,18.0,-8.207,118.631
6.8,0,6,0,0,711,9,424,0.0,21.4,7,34.0,29.218,129.782
6.9,4,6,0,0,972,9,397,0.0,11.0,7,130.0,-6.133,130.385
6.8,0,5,0,0,711,9,174,0.0,30.2,7,35.0,-13.298,165.91
7.4,0,7,0,0,842,9,314,0.0,20.2,7,31.1,-13.093,166.497
7.8,0,6,0,0,936,9,195,0.0,20.3,7,35.0,-12.517,166.382
7.7,4,7,0,0,916,9,283,0.0,23.2,8,45.0,-13.006,166.51
6.6,7,7,0,0,787,9,417,0.0,30.1,7,9.0,-2.482,101.524
7.6,8,8,0,0,1639,9,498,0.0,14.0,7,81.0,-0.72,99.867
8.1,7,6,0,0,1055,9,520,0.0,20.8,7,18.0,-15.489,-172.095
7.0,7,7,0,0,1175,9,312,0.0,16.3,7,46.0,-7.782,107.297
6.7,5,6,0,0,753,9,369,0.0,14.9,7,20.0,-1.479,99.49
6.6,4,5,0,0,703,9,336,0.0,14.1,7,53.0,32.821,140.395
7.5,7,6,0,0,1248,9,303,0.0,18.2,7,24.0,14.099,92.902
7.1,5,4,0,0,1005,9,447,0.0,14.2,7,292.0,33.167,137.944
6.9,5,7,0,0,1202,9,243,0.0,35.0,7,10.0,29.039,-112.903
7.8,6,8,0,0,1165,9,434,0.0,16.8,7,12.0,-45.762,166.562
6.7,5,5,0,0,693,9,269,0.0,13.8,7,64.0,-5.157,153.782
7.3,7,8,0,0,1560,9,464,0.0,27.2,7,19.0,16.731,-86.217
7.6,7,5,0,0,916,9,504,0.0,14.0,7,31.0,-23.043,-174.66
7.2,3,7,0,0,802,9,432,0.0,18.6,7,20.0,3.886,126.387
7.4,7,7,0,0,846,9,314,0.0,21.1,7,23.0,-0.691,133.305
6.6,5,4,0,0,765,9,344,0.0,22.6,7,204.8,36.419,70.743
7.7,5,7,0,0,918,9,288,0.0,29.8,7,17.0,-0.414,132.885
7.4,9,7,0,0,848,9,365,0.0,33.7,8,30.0,1.271,122.091
6.7,5,6,0,0,731,9,481,0.0,28.6,7,24.0,14.423,-92.364
6.7,0,6,0,0,691,9,529,0.0,22.3,7,27.4,39.533,73.824
6.8,0,6,0,0,711,9,500,0.0,22.2,7,25.0,41.892,143.754
6.6,0,6,0,0,670,9,463,0.0,14.1,7,96.0,1.885,127.363
6.9,0,6,0,0,732,9,531,0.0,14.9,7,110.0,-13.501,166.967
6.7,4,7,0,0,692,9,325,0.0,28.0,7,12.0,30.901,83.52
6.8,8,7,0,0,1046,9,633,0.0,20.2,7,108.0,39.802,141.464
7.0,5,5,0,0,840,9,577,0.0,18.2,7,22.0,37.552,142.214
6.9,5,5,0,0,825,3,0,0.0,0.0,8,25.5,37.55,142.714
6.6,4,5,0,0,680,9,630,0.0,18.4,7,17.0,11.005,91.824
6.9,7,8,0,0,888,9,654,0.0,17.1,7,7.8,39.03,140.881
7.9,9,9,0,0,1870,9,774,0.0,11.3,7,19.0,31.002,103.322
6.9,5,5,0,0,910,9,519,0.0,21.1,7,27.0,36.164,141.526
7.3,0,6,0,0,820,9,486,0.0,13.4,7,33.0,-20.071,168.892
7.2,0,7,0,0,798,9,532,0.0,25.9,7,10.0,35.49,81.467
6.9,4,5,0,0,740,9,544,0.0,25.9,7,24.0,13.351,125.63
6.7,5,6,0,0,696,9,543,0.0,15.1,7,25.0,-2.245,99.808
6.6,4,6,0,0,674,9,421,0.0,17.7,7,25.0,-2.332,99.891
7.2,4,7,0,0,832,9,505,0.0,18.4,7,25.0,-2.486,99.972
6.5,4,6,0,0,654,9,429,0.0,28.3,7,22.0,-2.405,99.931
7.4,5,7,0,0,914,9,607,0.0,16.4,7,26.0,2.768,95.964
6.5,8,5,0,0,692,9,650,0.0,30.7,7,28.0,36.345,21.863
6.9,6,6,0,0,941,9,645,0.0,30.6,7,29.0,36.501,21.67
6.5,7,6,0,0,723,9,521,0.0,27.6,7,83.0,16.357,-94.304
6.6,7,6,0,0,808,9,461,0.0,18.8,7,20.0,-39.011,178.291
6.7,5,7,0,0,704,9,481,0.0,30.3,6,45.0,-22.954,-70.182
7.4,7,7,0,0,1542,9,663,0.0,13.4,6,156.0,14.944,-61.274
6.6,3,6,0,0,672,9,280,0.0,26.9,7,16.0,-10.95,162.149
6.5,5,7,0,0,653,9,272,0.0,27.6,7,18.0,-8.224,118.467
6.5,7,7,0,0,657,9,353,0.0,27.5,7,20.0,-8.292,118.37
6.8,6,6,0,0,722,9,341,0.0,15.9,7,53.0,-5.757,147.098
6.8,7,6,0,0,790,9,649,0.0,27.0,7,122.9,-2.312,-77.838
6.8,6,7,0,0,716,9,285,0.0,40.1,7,26.0,-22.925,-70.237
7.7,8,7,0,0,995,9,610,0.0,22.4,7,40.0,-22.247,-69.89
6.8,3,5,0,0,713,9,494,0.0,23.9,7,21.0,-3.899,101.02
6.8,4,7,0,0,744,9,338,0.0,19.0,7,18.0,-44.796,167.553
6.8,4,5,0,0,713,9,348,0.0,15.5,7,40.0,-4.99,153.5
6.7,3,5,0,0,696,9,503,0.0,26.9,7,30.0,-1.999,100.141
7.0,4,7,0,0,768,9,537,0.0,23.1,7,22.0,-2.13,99.627
6.5,0,5,0,0,650,9,409,0.0,26.2,7,28.9,-1.689,99.668
7.9,8,7,0,0,1133,9,446,0.0,29.1,7,35.0,-2.625,100.841
7.8,7,8,0,0,1152,3,0,0.0,0.0,8,40.5,-2.52,100.139
8.4,0,6,0,0,1086,7,411,0.0,32.3,8,34.0,-4.438,101.367
6.8,5,6,0,0,747,9,653,0.0,17.6,7,15.0,2.966,-77.963
7.2,0,5,0,0,798,9,312,0.0,21.3,7,35.0,-11.61,165.762
6.5,5,6,0,0,675,9,382,0.0,12.8,7,15.0,-9.834,159.465
8.0,9,8,0,0,1385,9,625,0.0,25.7,7,39.0,-13.386,-76.603
7.5,0,5,0,0,865,9,228,0.0,30.7,7,280.0,-5.859,107.419
7.2,7,7,0,0,803,9,494,0.0,20.4,6,120.0,-15.595,167.68
6.9,3,5,0,0,734,9,374,0.0,24.1,6,25.0,2.872,127.464
6.8,5,4,0,0,779,9,664,0.0,18.2,6,350.4,36.808,134.85
6.6,8,8,0,0,831,9,782,0.0,16.7,7,12.0,37.535,138.446
6.7,6,6,0,0,972,9,468,0.0,37.7,7,23.0,13.554,-90.618
6.9,0,7,0,0,732,9,305,0.0,15.3,7,10.0,-7.306,155.741
6.6,0,7,0,0,670,9,251,0.0,16.0,1,10.0,-7.169,155.777
8.1,9,8,0,0,1025,9,439,0.0,14.7,7,24.0,-8.466,157.043
6.7,7,8,0,0,782,9,493,0.0,23.9,7,8.0,37.336,136.588
7.1,3,6,0,0,779,9,426,0.0,25.3,6,34.0,-20.617,169.357
6.7,0,6,0,0,691,9,253,0.0,40.3,7,12.0,-1.034,126.976
7.5,6,5,0,0,874,9,570,0.0,21.6,7,22.0,1.065,126.282
8.1,4,5,0,0,1034,9,606,0.0,14.0,7,10.0,46.243,154.524
6.9,6,7,0,0,798,9,466,0.0,31.6,7,10.0,21.974,120.493
7.1,8,7,0,0,1023,9,744,0.0,29.1,6,10.0,21.799,120.547
8.3,4,7,0,0,1064,9,576,0.0,20.9,7,10.0,46.592,153.266
6.6,0,6,0,0,670,9,352,0.0,18.6,7,11.0,-6.482,151.195
6.7,5,6,0,0,732,9,444,0.0,53.4,7,23.0,-13.457,-76.677
6.7,5,6,0,0,692,9,533,0.0,15.6,7,32.0,-5.881,150.982
6.7,8,9,0,0,1481,4,43,0.0,124.0,2,38.182,19.877,-155.935
6.9,3,3,0,0,737,9,702,0.0,20.9,7,28.0,-16.592,-172.033
6.8,0,6,0,0,711,9,459,0.0,28.4,6,38.0,-6.759,155.512
6.5,0,6,0,0,650,9,700,0.0,47.4,6,43.0,51.148,157.522
6.8,5,5,0,0,713,9,551,0.0,26.2,6,150.0,-15.798,167.789
7.7,7,5,0,0,947,9,357,0.0,36.8,7,20.0,-9.284,107.419
6.5,0,6,0,0,650,9,477,0.0,20.3,7,34.0,-5.724,151.133
6.6,0,7,0,0,670,9,548,0.0,28.0,7,19.0,60.772,165.743
6.8,4,5,0,0,719,9,701,0.0,16.3,6,12.0,0.093,97.05
8.0,7,7,0,0,1013,9,626,0.0,20.7,7,55.0,-20.187,-174.123
8.0,8,9,0,0,1026,3,0,0.0,0.0,8,60.5,-19.99,-173.907
6.5,7,7,0,0,653,9,282,0.0,46.3,7,12.0,-27.211,-71.056
6.7,6,7,0,0,696,9,277,0.0,25.6,6,12.0,-27.017,-71.022
6.6,0,8,0,0,670,9,645,0.0,28.4,7,11.0,60.491,167.516
7.6,0,8,0,0,889,9,579,0.0,18.5,7,22.0,60.949,167.089
6.5,3,5,0,0,654,9,247,0.0,25.5,7,14.0,-16.527,176.989
6.7,0,7,0,0,691,9,306,0.0,21.3,6,30.1,-3.595,127.214
7.0,5,9,0,0,891,9,412,0.0,23.2,6,11.0,-21.324,33.583
6.7,7,6,0,0,934,9,769,0.0,19.7,6,66.0,36.311,23.212
6.6,7,6,0,0,703,9,323,0.0,48.2,7,14.0,28.164,-112.117
6.5,6,5,0,0,721,9,529,0.0,20.5,6,224.6,36.357,71.093
6.8,5,7,0,0,744,9,561,0.0,20.0,7,22.0,-6.224,29.83
6.5,4,5,0,0,683,9,464,0.0,48.8,7,29.0,38.089,142.122
6.5,3,6,0,0,651,9,358,0.0,20.7,6,21.0,2.164,96.786
6.8,0,6,0,0,711,9,509,0.0,30.1,6,147.0,-22.361,-67.895
7.6,9,9,0,0,1267,9,724,0.0,21.1,7,26.0,34.539,73.588
6.6,0,6,0,0,670,9,402,0.0,17.7,7,25.0,-5.437,151.84
7.5,8,7,0,0,1018,9,696,0.0,26.2,6,115.0,-5.678,-76.398
7.6,5,7,0,0,891,9,502,0.0,20.0,7,90.0,-4.539,153.474
7.2,7,7,0,0,1104,9,698,0.0,19.6,7,36.0,38.276,142.039
7.2,4,5,0,0,808,9,636,0.0,26.4,7,16.0,7.92,92.19
6.7,3,6,0,0,693,9,398,0.0,22.3,7,21.0,1.819,97.082
6.6,6,5,0,0,719,9,446,0.0,21.1,7,27.0,11.245,-86.172
7.2,5,4,0,0,1318,9,420,0.0,31.4,7,16.0,41.292,-125.953
7.8,8,7,0,0,1020,9,714,0.0,16.1,6,115.6,-19.987,-69.197
6.9,5,7,0,0,740,9,635,0.0,26.0,7,30.0,1.989,97.041
6.7,6,5,0,0,731,9,695,0.0,20.9,6,34.0,0.587,98.459
6.5,3,6,0,0,657,9,478,0.0,21.2,7,30.0,-1.714,99.779
6.7,5,6,0,0,717,9,656,0.0,21.2,7,19.0,-1.644,99.607
8.6,0,8,0,0,1138,7,510,0.0,22.1,8,30.0,2.085,97.108
6.6,8,7,0,0,805,9,401,0.0,22.9,7,10.0,33.807,130.131
7.1,0,5,0,0,776,9,569,0.0,18.1,6,201.7,-6.527,129.933
6.8,0,6,0,0,711,9,444,0.0,33.8,6,36.0,2.908,95.592
