magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.1,5,3,1,146.0,-6.9746,146.449
6.8,4,0,1,15.46,-1.8146,122.58
6.5,4,0,1,38.0,-58.6262,-25.304
7.0,3,0,1,267.0,-14.7131,-70.1546
7.5,2,3,1,145.0,-2.1862,-77.0505
6.7,2,3,1,66.0,14.6802,-92.4527
6.7,1,0,0,13.0,-43.1219,42.3568
6.7,1,1,1,63.0,-30.0404,-71.3815
6.6,1,0,1,35.0,-13.336,166.875
6.6,1,0,1,43.21,2.258,126.758
6.8,1,0,0,570.41,-8.144,-71.587
7.0,12,0,1,60.21,5.8983,126.921
7.3,12,0,1,16.56,55.0999,164.699
7.1,12,0,1,133.0,-58.5446,-26.3856
6.6,12,0,1,10.0,-22.0629,169.733
7.5,12,0,1,10.0,-21.9496,169.427
7.1,11,1,1,46.7,61.3464,-149.955
6.8,11,0,1,540.0,-17.8735,-178.927
6.7,11,0,1,10.0,71.6312,-11.2431
6.8,10,3,0,14.0,37.5203,20.5565
6.5,10,0,0,10.0,49.297,-129.724
6.8,10,0,1,10.0,49.3346,-129.289
6.5,10,0,1,10.0,49.2586,-129.412
6.5,10,0,1,17.0,-21.7427,169.522
6.7,10,0,1,461.0,52.8549,153.243
6.5,10,0,1,20.0,49.2902,156.297
7.0,10,0,1,39.0,-5.7012,151.205
6.7,9,0,1,550.0,-18.3604,-178.063
7.5,9,2,0,20.0,-0.2559,119.846
6.5,9,0,0,576.0,-25.415,178.199
6.9,9,0,0,115.0,-31.7447,-179.373
6.5,9,0,1,68.0,-10.0207,161.503
7.9,9,0,1,670.81,-18.4743,179.35
6.6,9,1,1,35.0,42.6861,141.929
7.1,8,0,1,21.43,-22.0295,170.126
7.1,8,0,0,630.0,-11.0355,-70.8284
6.5,8,0,1,9.0,-16.0315,168.143
7.3,8,3,1,146.82,10.7731,-62.9019
6.9,8,0,0,21.0,-8.319,116.627
8.2,8,0,1,600.0,-18.1125,-178.153
6.5,8,0,0,529.0,-7.3718,119.802
6.5,8,0,1,33.93,51.4234,-178.026
6.9,8,1,0,34.0,-8.2581,116.438
6.9,5,3,1,5.81,19.3182,-155.0
6.8,4,0,0,559.0,-20.6588,-63.0058
6.9,3,0,1,35.0,-5.5321,151.5
6.7,3,0,1,40.0,-5.5024,151.402
6.8,3,0,1,22.86,-4.3762,153.2
6.7,3,0,1,20.49,-6.3043,142.612
7.5,2,3,1,25.21,-6.0699,142.754
